cpus	grb_threads	seed	time
1	1	0	415.3452000617981
1	1	1	350.89150881767273
1	1	2	365.80148100852966
1	1	3	297.60738825798035
1	2	0	341.9568340778351
1	2	1	522.5988190174103
1	2	2	380.6871967315674
1	2	3	473.89850664138794
1	4	0	251.83620929718018
1	4	1	273.1804299354553
1	4	2	288.84703493118286
1	4	3	248.83835768699646
1	8	0	253.7042784690857
1	8	1	275.9873881340027
1	8	2	286.53872776031494
1	8	3	243.94990420341492
1	16	0	238.29725170135498
1	16	1	247.72949051856995
1	16	2	278.8414514064789
1	16	3	246.799156665802
2	1	0	204.6201298236847
2	1	1	255.84796118736267
2	1	2	410.93963861465454
2	1	3	302.8067054748535
2	2	0	196.85521292686462
2	2	1	250.6603901386261
2	2	2	226.97025609016418
2	2	3	331.62191796302795
2	4	0	148.26058268547058
2	4	1	155.73611736297607
2	4	2	133.54731822013855
2	4	3	134.17668342590332
2	8	0	145.29882502555847
2	8	1	158.24430584907532
2	8	2	146.76230549812317
2	8	3	139.2579071521759
2	16	0	147.6262402534485
2	16	1	140.03264546394348
2	16	2	143.10009860992432
2	16	3	230.34726762771606
4	1	0	108.50651240348816
4	1	1	147.53569269180298
4	1	2	94.14747834205627
4	1	3	148.06714248657227
4	2	0	144.9764256477356
4	2	1	169.09247517585754
4	2	2	162.40761137008667
4	2	3	126.4921441078186
4	4	0	81.10020613670349
4	4	1	87.31446599960327
4	4	2	84.78624701499939
4	4	3	93.68317723274231
4	8	0	85.21130347251892
4	8	1	85.04207181930542
4	8	2	88.65559697151184
4	8	3	84.8314938545227
4	16	0	79.81903505325317
4	16	1	84.73161363601685
4	16	2	85.43924736976624
4	16	3	82.97396802902222
8	1	0	142.93891835212708
8	1	1	135.58266377449036
8	1	2	155.3562150001526
8	1	3	109.90160036087036
8	2	0	66.77511167526245
8	2	1	95.97284317016602
8	2	2	72.98336100578308
8	2	3	103.32495951652527
8	4	0	53.69652199745178
8	4	1	50.022132396698
8	4	2	51.511483669281006
8	4	3	57.744884729385376
8	8	0	58.33293151855469
8	8	1	53.963690757751465
8	8	2	61.40775942802429
8	8	3	49.78429627418518
8	16	0	61.48846101760864
8	16	1	55.30429291725159
8	16	2	63.45252346992493
8	16	3	57.358619689941406
16	1	0	109.5020158290863
16	1	1	126.7226779460907
16	1	2	85.54742121696472
16	1	3	54.38181257247925
16	2	0	74.92767453193665
16	2	1	133.16388273239136
16	2	2	97.75438165664673
16	2	3	91.61423516273499
16	4	0	44.480441093444824
16	4	1	46.19891953468323
16	4	2	47.31203317642212
16	4	3	50.0891592502594
16	8	0	45.50362181663513
16	8	1	53.353906869888306
16	8	2	89.64999055862427
16	8	3	49.34414863586426
16	16	0	48.49110746383667
16	16	1	49.24638652801514
16	16	2	52.56847858428955
16	16	3	40.65433716773987
32	1	0	206.52028822898865
32	1	1	96.01634049415588
32	1	2	84.27576923370361
32	1	3	102.81789493560791
32	2	0	104.33092045783997
32	2	1	33.29887580871582
32	2	2	100.81993198394775
32	2	3	29.564302921295166
32	4	0	39.090545654296875
32	4	1	45.540801763534546
32	4	2	47.630735635757446
32	4	3	42.99131178855896
32	8	0	36.78598237037659
32	8	1	38.41399693489075
32	8	2	39.815046072006226
32	8	3	52.6728515625
32	16	0	40.10464429855347
32	16	1	38.0096321105957
32	16	2	31.81277823448181
32	16	3	43.7674343585968
