,elapsed_seconds,params,best_params,loss,best_loss,best_sse
0,0.013184637999984261,"[1.0099999  2.01       0.09000007 1.         2.         0.10999993
 0.99000007 1.9900001  0.99000007 1.9900001  0.10999993 1.0099999
 2.0099998  1.         2.         0.09000007 1.         2.
 0.09000007 1.         2.         0.10999993]","[1.0099999  2.01       0.09000007 1.         2.         0.10999993
 0.99000007 1.9900001  0.99000007 1.9900001  0.10999993 1.0099999
 2.0099998  1.         2.         0.09000007 1.         2.
 0.09000007 1.         2.         0.10999993]",0.13036287,0.13036287,5.927465438842773
1,0.027803278999954273,"[1.019936   2.019971   0.08009689 1.         2.         0.11989882
 0.979988   1.9799896  0.9800056  1.9800311  0.11998016 1.0197117
 2.0197775  1.         2.         0.08025719 1.         2.
 0.08002293 1.         2.         0.11995059]","[1.019936   2.019971   0.08009689 1.         2.         0.11989882
 0.979988   1.9799896  0.9800056  1.9800311  0.11998016 1.0197117
 2.0197775  1.         2.         0.08025719 1.         2.
 0.08002293 1.         2.         0.11995059]",0.12348887,0.12348887,5.654326915740967
2,0.04121400700000777,"[1.0297452  2.0298808  0.07051591 1.         2.         0.12963511
 0.9699529  1.9699575  0.9700369  1.970134   0.12991296 1.028901
 2.0291336  1.         2.         0.0713405  1.         2.
 0.07009018 1.         2.         0.12980077]","[1.0297452  2.0298808  0.07051591 1.         2.         0.12963511
 0.9699529  1.9699575  0.9700369  1.970134   0.12991296 1.028901
 2.0291336  1.         2.         0.0713405  1.         2.
 0.07009018 1.         2.         0.12980077]",0.11779849,0.11779849,5.444344520568848
3,0.05444942100007211,"[1.0393457  2.0396826  0.06185297 1.         2.         0.13915454
 0.9598867  1.9598931  0.960124   1.9603579  0.13976413 1.037377
 2.0378819  1.         2.         0.06448719 1.         2.
 0.06022983 1.         2.         0.1394942 ]","[1.0393457  2.0396826  0.06185297 1.         2.         0.13915454
 0.9598867  1.9598931  0.960124   1.9603579  0.13976413 1.037377
 2.0378819  1.         2.         0.06448719 1.         2.
 0.06022983 1.         2.         0.1394942 ]",0.11342385,0.11342385,5.295948505401611
4,0.06861000300000342,"[1.048639   2.049312   0.05537011 1.         2.         0.14841191
 0.94978386 1.9497879  0.9502901  1.9507394  0.14950964 1.045049
 2.0459075  1.         2.         0.06111023 1.         2.
 0.0504767  1.         2.         0.14899094]","[1.048639   2.049312   0.05537011 1.         2.         0.14841191
 0.94978386 1.9497879  0.9502901  1.9507394  0.14950964 1.045049
 2.0459075  1.         2.         0.06111023 1.         2.
 0.0504767  1.         2.         0.14899094]",0.110332265,0.110332265,5.1873345375061035
5,0.0816498720000709,"[1.0575204  2.0586908  0.05231712 1.         2.         0.15737142
 0.9396366  1.9396347  0.9405282  1.9412777  0.15915711 1.051921
 2.05318    1.         2.         0.06126087 1.         2.
 0.040871   1.         2.         0.15829103]","[1.0575204  2.0586908  0.05231712 1.         2.         0.15737142
 0.9396366  1.9396347  0.9405282  1.9412777  0.15915711 1.051921
 2.05318    1.         2.         0.06126087 1.         2.
 0.040871   1.         2.         0.15829103]",0.10806947,0.10806947,5.082934379577637
6,0.09511985599988293,"[1.0658935  2.067731   0.05248148 1.         2.         0.16600625
 0.9294339  1.9294269  0.9308025  1.9319377  0.16874336 1.0580459
 2.0597193  1.         2.         0.06400087 1.         2.
 0.03145676 1.         2.         0.16742963]","[1.0658935  2.067731   0.05248148 1.         2.         0.16600625
 0.9294339  1.9294269  0.9308025  1.9319377  0.16874336 1.0580459
 2.0597193  1.         2.         0.06400087 1.         2.
 0.03145676 1.         2.         0.16742963]",0.10589446,0.10589446,4.964864730834961
7,0.10777077500006271,"[1.0736755  2.076333   0.05487402 1.         2.         0.17429806
 0.91916525 1.9191587  0.92106843 1.9226718  0.17831388 1.0634947
 2.0655696  1.         2.         0.0684702  1.         2.
 0.02229198 1.         2.         0.17645437]","[1.0736755  2.076333   0.05487402 1.         2.         0.17429806
 0.91916525 1.9191587  0.92106843 1.9226718  0.17831388 1.0634947
 2.0655696  1.         2.         0.0684702  1.         2.
 0.02229198 1.         2.         0.17645437]",0.10343468,0.10343468,4.839252471923828
8,0.12016171899995243,"[1.080803   2.0843825  0.05863575 1.         2.         0.18223573
 0.9088225  1.9088266  0.91128826 1.9134377  0.1879073  1.0683454
 2.0707908  1.         2.         0.07408071 1.         2.
 0.01346853 1.         2.         0.18540843]","[1.080803   2.0843825  0.05863575 1.         2.         0.18223573
 0.9088225  1.9088266  0.91128826 1.9134377  0.1879073  1.0683454
 2.0707908  1.         2.         0.07408071 1.         2.
 0.01346853 1.         2.         0.18540843]",0.10081776,0.10081776,4.719799041748047
9,0.13312507699993148,"[1.0872487  2.0917673  0.06310987 1.         2.         0.18981433
 0.8983987  1.8984318  0.9014371  1.9042057  0.19754903 1.0726764
 2.0754547  1.         2.         0.0804221  1.         2.
 0.00512861 1.         2.         0.1943228 ]","[1.0872487  2.0917673  0.06310987 1.         2.         0.18981433
 0.8983987  1.8984318  0.9014371  1.9042057  0.19754903 1.0726764
 2.0754547  1.         2.         0.0804221  1.         2.
 0.00512861 1.         2.         0.1943228 ]",0.09832915,0.09832915,4.617615222930908
10,0.1457456059999913,"[ 1.0930372   2.0984259   0.06774762  1.          2.          0.19703391
  0.88788897  1.8879815   0.891503    1.8949606   0.20725061  1.0765578
  2.0796344   1.          2.          0.08717766  1.          2.
 -0.00253453  1.          2.          0.20321403]","[ 1.0930372   2.0984259   0.06774762  1.          2.          0.19703391
  0.88788897  1.8879815   0.891503    1.8949606   0.20725061  1.0765578
  2.0796344   1.          2.          0.08717766  1.          2.
 -0.00253453  1.          2.          0.20321403]",0.09620032,0.09620032,4.536926746368408
11,0.15892768200001228,"[1.0982423  2.1044147  0.07207268 1.         2.         0.20389853
 0.87729174 1.8774905  0.8814849  1.8857011  0.21701136 1.0800476
 2.0833926  1.         2.         0.0940778  1.         2.
 0.00227973 1.         2.         0.21208517]","[ 1.0930372   2.0984259   0.06774762  1.          2.          0.19703391
  0.88788897  1.8879815   0.891503    1.8949606   0.20725061  1.0765578
  2.0796344   1.          2.          0.08717766  1.          2.
 -0.00253453  1.          2.          0.20321403]",12492.988,0.09620032,4.536926746368408
12,0.1725503679999747,"[1.1029367  2.109823   0.07570638 1.         2.         0.21041538
 0.8666106  1.8669803  0.8713906  1.876437   0.22682069 1.0831938
 2.0867805  1.         2.         0.10087941 1.         2.
 0.00661979 1.         2.         0.22092783]","[1.1029367  2.109823   0.07570638 1.         2.         0.21041538
 0.8666106  1.8669803  0.8713906  1.876437   0.22682069 1.0831938
 2.0867805  1.         2.         0.10087941 1.         2.
 0.00661979 1.         2.         0.22092783]",0.09314283,0.09314283,4.417983055114746
13,0.18551928100009718,"[1.1071969  2.1147695  0.07839744 1.         2.         0.21659394
 0.8558547  1.8564776  0.86123466 1.8671874  0.2366603  1.086036
 2.089841   1.         2.         0.10736153 1.         2.
 0.01054068 1.         2.         0.22972487]","[1.1071969  2.1147695  0.07839744 1.         2.         0.21659394
 0.8558547  1.8564776  0.86123466 1.8671874  0.2366603  1.086036
 2.089841   1.         2.         0.10736153 1.         2.
 0.01054068 1.         2.         0.22972487]",0.09204131,0.09204131,4.3749518394470215
14,0.19847102499988978,"[1.1111007  2.1193779  0.08003078 1.         2.         0.22244541
 0.845038   1.8460119  0.85103744 1.8579781  0.24650624 1.0886075
 2.0926082  1.         2.         0.11332959 1.         2.
 0.01408901 1.         2.         0.23845309]","[1.1111007  2.1193779  0.08003078 1.         2.         0.22244541
 0.845038   1.8460119  0.85103744 1.8579781  0.24650624 1.0886075
 2.0926082  1.         2.         0.11332959 1.         2.
 0.01408901 1.         2.         0.23845309]",0.09114483,0.09114483,4.338202953338623
15,0.21130766000010226,"[1.1147236  2.123763   0.08060733 1.         2.         0.2279822
 0.83417755 1.8356119  0.84082335 1.848839   0.25633094 1.0909357
 2.0951087  1.         2.         0.11862241 1.         2.
 0.01730468 1.         2.         0.24708577]","[1.1147236  2.123763   0.08060733 1.         2.         0.2279822
 0.83417755 1.8356119  0.84082335 1.848839   0.25633094 1.0909357
 2.0951087  1.         2.         0.11862241 1.         2.
 0.01730468 1.         2.         0.24708577]",0.09037923,0.09037923,4.305118083953857
16,0.2288428770000337,"[1.1181365  2.1280274  0.08021045 1.         2.         0.23321746
 0.82329154 1.825304   0.8306195  1.8398021  0.26610506 1.0930417
 2.097358   1.         2.         0.12311751 1.         2.
 0.02022225 1.         2.         0.25559494]","[1.1181365  2.1280274  0.08021045 1.         2.         0.23321746
 0.82329154 1.825304   0.8306195  1.8398021  0.26610506 1.0930417
 2.097358   1.         2.         0.12311751 1.         2.
 0.02022225 1.         2.         0.25559494]",0.08968996,0.08968996,4.274102210998535
17,0.2446734180000476,"[1.1214048  2.1322587  0.0789757  1.         2.         0.23816484
 0.8123973  1.8151093  0.82045436 1.8308995  0.2757993  1.0949396
 2.0993593  1.         2.         0.12673254 1.         2.
 0.02287184 1.         2.         0.26395327]","[1.1214048  2.1322587  0.0789757  1.         2.         0.23816484
 0.8123973  1.8151093  0.82045436 1.8308995  0.2757993  1.0949396
 2.0993593  1.         2.         0.12673254 1.         2.
 0.02287184 1.         2.         0.26395327]",0.089043796,0.089043796,4.2444257736206055
18,0.2573553439999614,"[1.1245865  2.1365306  0.0770711  1.         2.         0.24283814
 0.8015096  1.8050426  0.8103564  1.8221616  0.28538582 1.0966358
 2.1011026  1.         2.         0.1294229  1.         2.
 0.02527989 1.         2.         0.27213547]","[1.1245865  2.1365306  0.0770711  1.         2.         0.24283814
 0.8015096  1.8050426  0.8103564  1.8221616  0.28538582 1.0966358
 2.1011026  1.         2.         0.1294229  1.         2.
 0.02527989 1.         2.         0.27213547]",0.08842554,0.08842554,4.215968132019043
19,0.27033344100004797,"[1.1277328  2.140903   0.07468718 1.         2.         0.24725121
 0.79063964 1.7951126  0.80035275 1.8136163  0.29483932 1.0981284
 2.1025631  1.         2.         0.1311767  1.         2.
 0.0274698  1.         2.         0.28011927]","[1.1277328  2.140903   0.07468718 1.         2.         0.24725121
 0.79063964 1.7951126  0.80035275 1.8136163  0.29483932 1.0981284
 2.1025631  1.         2.         0.1311767  1.         2.
 0.0274698  1.         2.         0.28011927]",0.087832674,0.087832674,4.188970565795898
20,0.28434431000005134,"[1.1308873  2.1454222  0.07203313 1.         2.         0.25141773
 0.77979416 1.785321   0.79046875 1.805288   0.3041379  1.0994072
 2.1037023  1.         2.         0.13200864 1.         2.
 0.02946232 1.         2.         0.28788602]","[1.1308873  2.1454222  0.07203313 1.         2.         0.25141773
 0.77979416 1.785321   0.79046875 1.805288   0.3041379  1.0994072
 2.1037023  1.         2.         0.13200864 1.         2.
 0.02946232 1.         2.         0.28788602]",0.08727022,0.08727022,4.163771629333496
21,0.2978004889998829,"[1.1340864  2.1501231  0.06933399 1.         2.         0.2553511
 0.7689754  1.7756634  0.78072685 1.7971969  0.31326336 1.1004536
 2.1044698  1.         2.         0.13195416 1.         2.
 0.03127596 1.         2.         0.29542089]","[1.1340864  2.1501231  0.06933399 1.         2.         0.2553511
 0.7689754  1.7756634  0.78072685 1.7971969  0.31326336 1.1004536
 2.1044698  1.         2.         0.13195416 1.         2.
 0.03127596 1.         2.         0.29542089]",0.08674525,0.08674525,4.140525817871094
22,0.310097001000031,"[1.1373593  2.1550293  0.06682269 1.         2.         0.25906438
 0.7581807  1.7661301  0.7711465  1.7893593  0.32220146 1.1012424
 2.1048055  1.         2.         0.13106444 1.         2.
 0.03292731 1.         2.         0.30271286]","[1.1373593  2.1550293  0.06682269 1.         2.         0.25906438
 0.7581807  1.7661301  0.7711465  1.7893593  0.32220146 1.1012424
 2.1048055  1.         2.         0.13106444 1.         2.
 0.03292731 1.         2.         0.30271286]",0.08626096,0.08626096,4.118967533111572
23,0.322526186999994,"[1.140729   2.1601558  0.06472188 1.         2.         0.2625702
 0.7474031  1.7567065  0.7617438  1.7817876  0.33094186 1.1017424
 2.104644   1.         2.         0.1294028  1.         2.
 0.03443124 1.         2.         0.30975455]","[1.140729   2.1601558  0.06472188 1.         2.         0.2625702
 0.7474031  1.7567065  0.7617438  1.7817876  0.33094186 1.1017424
 2.104644   1.         2.         0.1294028  1.         2.
 0.03443124 1.         2.         0.30975455]",0.08581182,0.08581182,4.098320960998535
24,0.3348862590000863,"[1.1442128  2.1655102  0.06321498 1.         2.         0.26588076
 0.7366315  1.747374   0.75253165 1.7744901  0.33947778 1.1019182
 2.1039186  1.         2.         0.12704243 1.         2.
 0.03580116 1.         2.         0.31654185]","[1.1442128  2.1655102  0.06321498 1.         2.         0.26588076
 0.7366315  1.747374   0.75253165 1.7744901  0.33947778 1.1019182
 2.1039186  1.         2.         0.12704243 1.         2.
 0.03580116 1.         2.         0.31654185]",0.08538169,0.08538169,4.077484130859375
25,0.34787651300007383,"[1.1478243  2.1710958  0.06241503 1.         2.         0.26900774
 0.7258513  1.738111   0.74351984 1.7674719  0.3478058  1.1017324
 2.1025653  1.         2.         0.12406544 1.         2.
 0.03704917 1.         2.         0.32307354]","[1.1478243  2.1710958  0.06241503 1.         2.         0.26900774
 0.7258513  1.738111   0.74351984 1.7674719  0.3478058  1.1017324
 2.1025653  1.         2.         0.12406544 1.         2.
 0.03704917 1.         2.         0.32307354]",0.084947586,0.084947586,4.055481910705566
26,0.36124392600004285,"[1.1515735  2.176913   0.06234572 1.         2.         0.2719623
 0.71504474 1.7288933  0.7347153  1.760735   0.35592538 1.1011467
 2.1005282  1.         2.         0.12056324 1.         2.
 0.03818621 1.         2.         0.3293508 ]","[1.1515735  2.176913   0.06234572 1.         2.         0.2719623
 0.71504474 1.7288933  0.7347153  1.760735   0.35592538 1.1011467
 2.1005282  1.         2.         0.12056324 1.         2.
 0.03818621 1.         2.         0.3293508 ]",0.08448922,0.08448922,4.031941890716553
27,0.37395024500006,"[1.1554685  2.18296    0.06294303 1.         2.         0.27475512
 0.70419186 1.7196947  0.72612226 1.754279   0.3638385  1.1001245
 2.0977628  1.         2.         0.11663792 1.         2.
 0.0392222  1.         2.         0.33537692]","[1.1554685  2.18296    0.06294303 1.         2.         0.27475512
 0.70419186 1.7196947  0.72612226 1.754279   0.3638385  1.1001245
 2.0977628  1.         2.         0.11663792 1.         2.
 0.0392222  1.         2.         0.33537692]",0.08399879,0.08399879,4.0072808265686035
28,0.38656939099996634,"[1.1595153  2.189234   0.06407376 1.         2.         0.27739632
 0.69327134 1.7104882  0.717743   1.7481011  0.37154904 1.0986316
 2.0942385  1.         2.         0.11240482 1.         2.
 0.04016611 1.         2.         0.3411568 ]","[1.1595153  2.189234   0.06407376 1.         2.         0.27739632
 0.69327134 1.7104882  0.717743   1.7481011  0.37154904 1.0986316
 2.0942385  1.         2.         0.11240482 1.         2.
 0.04016611 1.         2.         0.3411568 ]",0.08348502,0.08348502,3.9825263023376465
29,0.3993355539998902,"[1.1637183  2.1957312  0.06556123 1.         2.         0.2798955
 0.6822614  1.7012463  0.70957774 1.742197   0.37906247 1.0966378
 2.0899394  1.         2.         0.10799571 1.         2.
 0.04102612 1.         2.         0.3466966 ]","[1.1637183  2.1957312  0.06556123 1.         2.         0.2798955
 0.6822614  1.7012463  0.70957774 1.742197   0.37906247 1.0966378
 2.0899394  1.         2.         0.10799571 1.         2.
 0.04102612 1.         2.         0.3466966 ]",0.08296931,0.08296931,3.958890199661255
30,0.41216303400005927,"[1.1680801  2.2024462  0.06721088 1.         2.         0.28226185
 0.67114085 1.6919421  0.70162535 1.7365612  0.38638532 1.0941172
 2.0848637  1.         2.         0.10356183 1.         2.
 0.04180965 1.         2.         0.35200334]","[1.1680801  2.2024462  0.06721088 1.         2.         0.28226185
 0.67114085 1.6919421  0.70162535 1.7365612  0.38638532 1.0941172
 2.0848637  1.         2.         0.10356183 1.         2.
 0.04180965 1.         2.         0.35200334]",0.082476884,0.082476884,3.9373269081115723
31,0.42547000900003695,"[1.1726007  2.2093718  0.0688329  1.         2.         0.2845039
 0.6598905  1.6825508  0.6938834  1.7311867  0.39352465 1.0910478
 2.0790217  1.         2.         0.09927492 1.         2.
 0.04252346 1.         2.         0.35708472]","[1.1726007  2.2093718  0.0688329  1.         2.         0.2845039
 0.6598905  1.6825508  0.6938834  1.7311867  0.39352465 1.0910478
 2.0790217  1.         2.         0.09927492 1.         2.
 0.04252346 1.         2.         0.35708472]",0.08202764,0.08202764,3.918250560760498
32,0.4383949810001013,"[1.1772782  2.2164993  0.07026114 1.         2.         0.28662983
 0.6484943  1.6730508  0.6863487  1.7260661  0.4004877  1.087411
 2.0724325  1.         2.         0.09532333 1.         2.
 0.0431737  1.         2.         0.36194888]","[1.1772782  2.2164993  0.07026114 1.         2.         0.28662983
 0.6484943  1.6730508  0.6863487  1.7260661  0.4004877  1.087411
 2.0724325  1.         2.         0.09532333 1.         2.
 0.0431737  1.         2.         0.36194888]",0.08163022,0.08163022,3.9014155864715576
33,0.4517005390000577,"[1.1821082  2.2238178  0.07136708 1.         2.         0.2886473
 0.6369409  1.6634256  0.6790171  1.7211913  0.40728134 1.0831897
 2.0651197  1.         2.         0.09189908 1.         2.
 0.04376598 1.         2.         0.36660412]","[1.1821082  2.2238178  0.07136708 1.         2.         0.2886473
 0.6369409  1.6634256  0.6790171  1.7211913  0.40728134 1.0831897
 2.0651197  1.         2.         0.09189908 1.         2.
 0.04376598 1.         2.         0.36660412]",0.081279494,0.081279494,3.885977268218994
34,0.46549469199999294,"[1.1870843  2.2313154  0.07206798 1.         2.         0.2905635
 0.6252246  1.6536654  0.6718842  1.7165536  0.4139119  1.0783654
 2.0571077  1.         2.         0.08917402 1.         2.
 0.04430541 1.         2.         0.3710589 ]","[1.1870843  2.2313154  0.07206798 1.         2.         0.2905635
 0.6252246  1.6536654  0.6718842  1.7165536  0.4139119  1.0783654
 2.0571077  1.         2.         0.08917402 1.         2.
 0.04430541 1.         2.         0.3710589 ]",0.08095786,0.08095786,3.8707313537597656
35,0.47829108800010545,"[1.1921985  2.2389784  0.07232916 1.         2.         0.29238522
 0.6133461  1.6437691  0.6649446  1.7121441  0.42038482 1.0729163
 2.0484178  1.         2.         0.08726898 1.         2.
 0.04479664 1.         2.         0.37532175]","[1.1921985  2.2389784  0.07232916 1.         2.         0.29238522
 0.6133461  1.6437691  0.6649446  1.7121441  0.42038482 1.0729163
 2.0484178  1.         2.         0.08726898 1.         2.
 0.04479664 1.         2.         0.37532175]",0.08064024,0.08064024,3.8544881343841553
36,0.4955771620000178,"[1.1974412  2.2467926  0.07216145 1.         2.         0.29411885
 0.60131276 1.6337441  0.6581927  1.7079537  0.4267044  1.0668143
 2.0390677  1.         2.         0.08622704 1.         2.
 0.04524393 1.         2.         0.37940106]","[1.1974412  2.2467926  0.07216145 1.         2.         0.29411885
 0.60131276 1.6337441  0.6581927  1.7079537  0.4267044  1.0668143
 2.0390677  1.         2.         0.08622704 1.         2.
 0.04524393 1.         2.         0.37940106]",0.080301836,0.080301836,3.83650803565979
37,0.5098096310000528,"[1.2028017  2.2547433  0.07161557 1.         2.         0.29577032
 0.589138   1.6236063  0.6516225  1.7039729  0.43287393 1.0600256
 2.0290706  1.         2.         0.08600299 1.         2.
 0.04565115 1.         2.         0.3833052 ]","[1.2028017  2.2547433  0.07161557 1.         2.         0.29577032
 0.589138   1.6236063  0.6516225  1.7039729  0.43287393 1.0600256
 2.0290706  1.         2.         0.08600299 1.         2.
 0.04565115 1.         2.         0.3833052 ]",0.07992725,0.07992725,3.8167543411254883
